feature,ai_variance,human_variance,variance_ratio,levene_statistic,levene_pvalue,significant,ai_more_homogeneous
rms_var,0.03367195282799454,1.1901819797085873,0.028291432236471115,11.551012827712334,0.0016024451781328018,True,True
rms_std,0.09398823259246777,0.987963679534246,0.09513328732568031,8.718753249865522,0.00537588020433152,True,True
rms_mean,0.13076511255358167,1.2941050758892396,0.10104675036818545,21.768171534110653,3.7511983565744537e-05,True,True
crest_factor,0.2561387335053844,1.6475700750722346,0.15546454586713374,7.355217949321311,0.009987593645466834,True,True
spectral_contrast_mean,0.3133701636400788,1.763963814324968,0.1776511292891793,13.698371459723553,0.0006778670386672662,True,True
onset_strength_mean,0.3409341073465953,1.6451986884988925,0.20722974661356522,12.445728957960137,0.0011135915871884642,True,True
tempo,0.35796763671520465,1.6703486238443426,0.21430714020126804,1.4332870580234183,0.23864402716668268,False,True
mfcc_1_mean,0.2818323933718391,1.3047187348375566,0.2160100762306663,6.4295907900146645,0.015457839166149519,True,True
spectral_bandwidth_mean,0.3456922015271023,1.348416283488076,0.2563690499441816,7.301953046320938,0.010237928231002886,True,True
spectral_rolloff_mean,0.42665997054604843,1.249448902938249,0.34147852668700535,1.9123752684253763,0.17477240001638103,False,True
spectral_centroid_mean,0.43022423517673236,1.2510504261132869,0.3438904029738719,1.3926644550041072,0.24529060617150353,False,True
ioi_mean,0.5200911362264559,1.4324214903287178,0.3630852648734719,4.587299256710106,0.038681692208491214,True,True
self_similarity_mean,0.5611010961149271,1.5349926771499838,0.36553991720450535,1.909880933897929,0.175047069329362,False,True
repetition_score,0.5611010961149271,1.5349926771499838,0.36553991720450535,1.909880933897929,0.175047069329362,False,True
onset_strength_std,0.4968028757258011,1.3541146089391998,0.3668839199031991,6.336616502844359,0.01616412596726108,True,True
spectral_centroid_var,0.6238481411440006,1.4669332509424928,0.4252737067233176,1.6615835083108417,0.20518164408342815,False,True
self_similarity_std,0.6199663459879902,1.425274716878792,0.43498024531414825,3.74396533009848,0.06046775065428028,False,True
mfcc_2_mean,0.6053149235204948,1.3513845509671405,0.4479220389838638,0.7428672950378111,0.39415051219610253,False,True
spectral_centroid_std,0.6586314172809856,1.4409803937335337,0.45707174097941256,1.9604277615799486,0.1695797771812209,False,True
tonnetz_std,0.6894101005359986,1.4158025424372225,0.4869394423810109,4.2417694120074865,0.04633991390567835,True,True
harmonic_ratio,0.6566805667096179,1.3223422043235813,0.4966041048697604,1.668339849474392,0.2042823407670259,False,True
percussive_ratio,0.6566806309243606,1.322342133058358,0.49660418019470287,1.6683393945125071,0.20428240116295543,False,True
mfcc_delta2_mean,0.7111937506504439,1.3352045542490931,0.5326477867283884,1.9007579713949003,0.17605605721814263,False,True
chroma_stft_std,0.49446848067253524,0.8790455748044557,0.5625060802820492,1.6645656601533245,0.2047841112480319,False,True
mfcc_12_mean,0.581426437145071,1.0047446407683296,0.5786808046076797,0.7612244427995254,0.3884253899373017,False,True
mfcc_delta2_std,0.5725142081697652,0.9708020408320892,0.5897332144862969,3.616650678599412,0.0648052330083694,False,True
chroma_stft_var,0.5153227466687869,0.8543497673886497,0.6031753812538501,1.4166695413345893,0.2413352934138911,False,True
chroma_cqt_mean,0.7980158989743652,1.30562674265672,0.6112128933193752,0.812352617759508,0.3731028694429567,False,True
mfcc_2_std,0.760466411052327,1.2285805906763234,0.6189796720080826,0.9358766861948492,0.33945760434094996,False,True
chroma_cqt_std,0.800663120795534,1.2911690635414999,0.6201071133159161,1.5675027582199317,0.2182216955213911,False,True
spectral_rolloff_std,0.8005269078096646,1.2372960054806117,0.6469970841768864,0.06878627208174329,0.794528842494538,False,True
spectral_bandwidth_std,0.7840480226048289,1.1552401229083589,0.6786883584262634,0.27933778597122677,0.600209081941514,False,True
tonnetz_mean,0.8515425117264805,1.2433366680064433,0.6848849017634439,0.6639274468897978,0.42025433255874645,False,True
onset_density,0.8241226564584025,1.1814048124369643,0.6975785503687162,1.4624880002327192,0.23400513388234725,False,True
mfcc_1_std,0.7559783565573117,1.0821332371437151,0.6986000712377272,0.6094774732202469,0.43982104822941537,False,True
mfcc_11_mean,0.8763989126323745,1.184598564729067,0.7398277684329443,0.16380869025150563,0.6879432141122792,False,True
spectral_flatness_mean,0.7415549163549625,0.9941079945661808,0.7459500581509456,0.26963725324752946,0.606586651367793,False,True
mfcc_7_mean,0.8015638007468234,1.0707725423529553,0.7485845677228867,0.4420806483197485,0.5101352155101997,False,True
mfcc_delta_std,0.786360328153056,1.046725873787012,0.7512571799797363,0.9756860212197328,0.32951425573013315,False,True
zero_crossing_rate_mean,0.6914104788519971,0.841053001631159,0.8220771788591902,0.18752365722257422,0.6674338217313713,False,True
mfcc_12_std,0.9839541995353505,1.1188000466818715,0.8794727909187653,0.1879928476233442,0.6670440037961192,False,True
mfcc_0_mean,0.9991151523446704,1.0466378995602221,0.9545948534488194,0.15311753528022723,0.6977593565581304,False,True
mfcc_6_std,1.0304801237778571,1.0726923451295447,0.9606483428884823,0.15541941408594473,0.6956130611553749,False,True
mfcc_3_std,1.0382107699184602,1.0623683286293857,0.977260656158592,0.007517904222796398,0.9313606091156341,False,True
mfcc_8_mean,0.8077476366761909,0.822677374087418,0.9818522571770149,0.26689651643205153,0.6084150140828919,False,True
mfcc_delta_mean,1.06786025357375,1.0355076015117457,1.0312432781901093,0.5645644567191445,0.457055404932721,False,False
mfcc_7_std,1.07082054142281,1.024816525734011,1.0448900018038345,0.14046803948350686,0.7098997937799303,False,False
mfcc_5_mean,0.6237533496025442,0.5935551632075249,1.0508767984290301,0.09285901104680265,0.7622362535971656,False,False
mfcc_9_mean,1.0119430332093802,0.9002002852191888,1.1241309848763081,0.05502802913133298,0.8157937294448552,False,False
mfcc_3_mean,1.1300936829871882,0.9621930720012052,1.1744978381903926,0.005174247130076931,0.9430331054217843,False,False
chroma_stft_mean,1.0309182889852202,0.8537802487862635,1.2074749801846278,0.6036461207940782,0.44200013770295477,False,False
mfcc_11_std,1.1569795840748862,0.9482247044998001,1.2201533862010132,0.03946553567898701,0.8435883061688083,False,False
spectral_contrast_std,1.1594700216195661,0.933487296604765,1.2420844138283773,0.02015353459628415,0.8878591216443333,False,False
ioi_std,1.1665176573152698,0.9373044073171926,1.2445451533233955,0.044135819425511945,0.8347235106748685,False,False
mfcc_6_mean,1.1628057313363798,0.9094104710263939,1.2786368404401531,0.13747688094288862,0.7128613504537734,False,False
mfcc_8_std,1.1277318278575172,0.8519839559055583,1.3236538317894397,0.006883939257501043,0.9343113124040384,False,False
mfcc_5_std,1.2389310386091725,0.8237426762508273,1.5040267723508374,2.098777839390804,0.15561915143312738,False,False
mfcc_9_std,1.1814680526079147,0.7472439741927587,1.5811008096575747,1.1854958277784167,0.2830972431831307,False,False
mfcc_10_mean,1.2301909878565032,0.7746168620224247,1.5881283356582674,1.7337518399262979,0.19581870872768586,False,False
zero_crossing_rate_std,1.1137894735590608,0.6238257745696828,1.7854175299623627,0.16300136119707764,0.6886712165036628,False,False
mfcc_4_std,1.3459231363439326,0.7347125173740706,1.8319044585688893,1.1990525091284765,0.28040326795007986,False,False
mfcc_0_std,1.3907676934050073,0.6852611989467193,2.029543910471929,0.8402395116637194,0.36510936684617956,False,False
spectral_flatness_std,1.2420735727918668,0.5491086460096284,2.261981452701598,0.7542312334288488,0.39059193734804676,False,False
mfcc_10_std,1.4659366433125378,0.6073437337395354,2.4136853018742386,2.0940940619948454,0.15606906231289136,False,False
mfcc_4_mean,1.2841656710903155,0.5145177507007667,2.495862716769826,2.0720536578703905,0.15820685918369762,False,False
ioi_cv,1.5512365300028814,0.48061740645847395,3.227591238181488,2.0359344428666115,0.1617853017478324,False,False
dynamic_range_db,0.0,0.0,,,,False,False
