pair_key,ai_filename,human_filename,tempo_diff,tempo_ai,tempo_human,spectral_centroid_mean_diff,spectral_centroid_mean_ai,spectral_centroid_mean_human,rms_mean_diff,rms_mean_ai,rms_mean_human,chroma_stft_mean_diff,chroma_stft_mean_ai,chroma_stft_mean_human,onset_density_diff,onset_density_ai,onset_density_human
ai_afrobeat_05_02.wav,ai_afrobeat_05_02.wav,Opalite Swift,3.68088942307692,99.38401442307692,95.703125,447.4340058545042,2102.4267552940423,1654.992749439538,0.007293373999999991,0.11622046,0.108927086,0.03018934000000001,0.41438827,0.38419893,1.0,4.866666666666666,3.8666666666666663
ai_afrobeat_02_02.wav,ai_afrobeat_02_02.wav,Denim,3.97536057692308,99.38401442307692,103.359375,364.825153433542,2027.36495854012,1662.539805106578,0.09285631,0.14539479,0.2382511,0.005498499999999962,0.35163993,0.34614143,1.6333333333333337,4.566666666666666,6.2
ai_afrobeat_05_01.wav,ai_afrobeat_05_01.wav,KOLUMBO,3.68088942307692,99.38401442307692,95.703125,210.74268647541135,1926.0762075168805,1715.333521041469,0.06627477000000001,0.10703573,0.1733105,0.0058818399999999715,0.39874884,0.392867,1.4000000000000004,4.266666666666667,5.666666666666667
ai_afrobeat_07_02.wav,ai_afrobeat_07_02.wav,Midnight - Instrumental Version,5.106688488142282,117.45383522727272,112.34714673913044,319.74098944527486,2856.111896553926,3175.8528859992007,0.09112406299999999,0.1479815,0.056857437,0.01026863,0.39566258,0.38539395,0.7666666666666666,5.833333333333333,6.6
ai_afrobeat_08_02.wav,ai_afrobeat_08_02.wav,Should We?,0.0,129.19921875,129.19921875,16.129471425286283,2082.302234193132,2098.431705618418,0.09974572000000001,0.14724244,0.24698816,0.011918129999999971,0.41868508,0.40676695,0.5999999999999996,4.6,4.0
ai_afrobeat_03_01.wav,ai_afrobeat_03_01.wav,Bee,7.555509868421041,143.5546875,135.99917763157896,530.1615305051146,1565.575606466316,1035.4140759612014,0.09480881,0.20851684,0.30332565,0.035942949999999974,0.43207255,0.4680155,0.40000000000000036,5.733333333333333,5.333333333333333
ai_afrobeat_03_02.wav,ai_afrobeat_03_02.wav,Billing - Instrumental Version,4.681131114130437,107.666015625,112.34714673913044,951.0980409075519,2182.900844456156,3133.998885363708,0.027996350000000003,0.17079735,0.1987937,0.04881364000000005,0.38827586,0.4370895,0.2333333333333334,5.533333333333333,5.766666666666667
ai_afrobeat_10_01.wav,ai_afrobeat_10_01.wav,Ride On,61.5234375,123.046875,184.5703125,788.2787833288476,2876.7744746120643,2088.4956912832167,0.14365732,0.14019868,0.283856,0.000840699999999972,0.3850838,0.3842431,3.533333333333333,7.6,4.066666666666666
ai_afrobeat_06_02.wav,ai_afrobeat_06_02.wav,Satisfy,5.5930397727272805,117.45383522727272,123.046875,713.7344272212779,2059.739553445382,1346.0051262241043,0.11869035000000003,0.13228895,0.2509793,0.020492139999999992,0.35740748,0.37789962,0.4666666666666668,5.5,5.033333333333333
ai_afrobeat_04_02.wav,ai_afrobeat_04_02.wav,Allow,4.681131114130437,107.666015625,112.34714673913044,212.77940874894784,1991.6502764953595,1778.8708677464117,0.050983169999999994,0.12908083,0.180064,0.0067613799999999835,0.37880602,0.3855674,0.8999999999999995,5.366666666666666,4.466666666666667
ai_afrobeat_04_01.wav,ai_afrobeat_04_01.wav,Ding Ding,7.65625,95.703125,103.359375,833.9693050579394,2600.0879185885588,1766.1186135306193,0.12413809000000003,0.13659084,0.26072893,0.06938224999999998,0.35527837,0.42466062,0.033333333333333215,6.2,6.166666666666667
ai_afrobeat_06_01.wav,ai_afrobeat_06_01.wav,Solitude,3.97536057692308,103.359375,99.38401442307692,879.0883658072491,2048.6098611224515,1169.5214953152024,0.08418087,0.11866829,0.20284916,0.00962314000000003,0.32803676,0.3376599,1.3999999999999995,5.033333333333333,3.6333333333333337
ai_afrobeat_08_01.wav,ai_afrobeat_08_01.wav,STAR,7.65625,95.703125,103.359375,545.6689355591518,2468.065374762127,1922.396439202975,0.13470937000000002,0.14697741,0.28168678,0.09226418000000003,0.34380865,0.43607283,2.3,4.266666666666667,6.566666666666666
ai_afrobeat_01_01.wav,ai_afrobeat_01_01.wav,Drama,4.681131114130437,112.34714673913044,107.666015625,719.430191018178,2154.417430170846,1434.9872391526678,0.14766163,0.13705423,0.28471586,0.06349443999999999,0.33629426,0.3997887,0.13333333333333375,6.166666666666667,6.033333333333333
ai_afrobeat_09_02.wav,ai_afrobeat_09_02.wav,Comforter,99.38401442307692,99.38401442307692,198.76802884615384,1145.7163765301004,2409.8891241011383,1264.172747571038,0.014016990000000007,0.12522313,0.13924012,0.03739258000000001,0.32303596,0.36042854,0.5,4.633333333333334,4.133333333333334
ai_afrobeat_07_01.wav,ai_afrobeat_07_01.wav,Oh Lord,5.5930397727272805,117.45383522727272,123.046875,1395.4897651159285,2487.9319633408486,1092.44219822492,0.02807599999999999,0.15144368,0.17951968,0.004899380000000009,0.33957353,0.33467415,0.9666666666666668,4.266666666666667,3.3
ai_afrobeat_10_02.wav,ai_afrobeat_10_02.wav,All on You,5.5930397727272805,123.046875,117.45383522727272,1455.6520555292632,2998.281749541828,1542.6296940125649,0.13085081,0.13690399,0.2677548,0.0048683800000000055,0.3877966,0.38292822,3.6999999999999997,7.033333333333333,3.3333333333333335
ai_afrobeat_02_01.wav,ai_afrobeat_02_01.wav,Pompo,3.97536057692308,99.38401442307692,103.359375,1792.3026876183635,2956.636886280776,1164.3341986624123,0.0069105799999999995,0.13128996,0.13820054,0.05946741999999999,0.3688785,0.42834592,0.9000000000000004,4.5,5.4
ai_afrobeat_01_02.wav,ai_afrobeat_01_02.wav,Elizabeth Taylor,0.0,112.34714673913044,112.34714673913044,1156.5457690015796,2223.701237003909,3380.2470060054884,0.015118140000000002,0.13754782,0.15266596,0.07315295999999999,0.2888295,0.36198246,1.2333333333333334,6.3,5.066666666666666
ai_afrobeat_09_01.wav,ai_afrobeat_09_01.wav,Pain,7.65625,103.359375,95.703125,1567.721320020827,2916.2418139161928,1348.5204938953657,0.056950940000000005,0.13422619,0.19117713,0.05897738999999996,0.29693434,0.35591173,1.5,4.766666666666667,3.2666666666666666
